Alaska, 9.58
Arizona, 6.58
Arkansas, 6.78
California, 8.63
Colorado, 6.69
Connecticut, 8.85
Delaware, 7.50
District of Columbia, 9.73
Federal (FLSA), 8.00
Guam, 8.08
Hawaii, 8.29
Idaho, 6.94
Indiana, 6.30
Kentucky, 6.41
Maine, 8.36
Maryland, 7.91
Massachusetts, 8.76
Michigan, 7.78
Minnesota, 7.61
Nebraska, 6.53
Nevada, 7.79
New Hampshire, 8.00
New Jersey, 8.12
New Mexico, 7.48
New York, 8.30
North Carolina, 7.37
North Dakota, 7.63
Ohio, 6.86
Oklahoma, 7.26
Oregon, 8.51
Pennsylvania, 7.84
Puerto Rico, 7.86
Rhode Island, 8.32
South Dakota, 6.76
Utah, 7.17
Vermont, 8.66
Washington, 8.33
West Virginia, 7.17
Wisconsin, 7.69
Wyoming, 5.15
Georgia, 5.34
Illinois, 7.37
Montana, 7.13
Texas, 6.02
Virginia, 7.02
Kansas, 4.71
U.S. Virgin Islands, 7.55
Iowa, 7.57
Missouri, 7.50
Florida, 8.25
